Codigo_UF,Nome_UF,Código Município Completo,Nome_Município,MUNICIPIO,SIGLA_UF
11,Rondônia,1100015,Alta Floresta D'Oeste,ALTA FLORESTA DOESTE,RO
11,Rondônia,1100379,Alto Alegre dos Parecis,ALTO ALEGRE DOS PARECIS,RO
11,Rondônia,1100403,Alto Paraíso,ALTO PARAISO,RO
11,Rondônia,1100346,Alvorada D'Oeste,ALVORADA DOESTE,RO
11,Rondônia,1100023,Ariquemes,ARIQUEMES,RO
11,Rondônia,1100452,Buritis,BURITIS,RO
11,Rondônia,1100031,Cabixi,CABIXI,RO
11,Rondônia,1100601,Cacaulândia,CACAULANDIA,RO
11,Rondônia,1100049,Cacoal,CACOAL,RO
11,Rondônia,1100700,Campo Novo de Rondônia,CAMPO NOVO DE RONDONIA,RO
11,Rondônia,1100809,Candeias do Jamari,CANDEIAS DO JAMARI,RO
11,Rondônia,1100908,Castanheiras,CASTANHEIRAS,RO
11,Rondônia,1100056,Cerejeiras,CEREJEIRAS,RO
11,Rondônia,1100924,Chupinguaia,CHUPINGUAIA,RO
11,Rondônia,1100064,Colorado do Oeste,COLORADO DO OESTE,RO
11,Rondônia,1100072,Corumbiara,CORUMBIARA,RO
11,Rondônia,1100080,Costa Marques,COSTA MARQUES,RO
11,Rondônia,1100940,Cujubim,CUJUBIM,RO
11,Rondônia,1100098,Espigão D'Oeste,ESPIGAO DOESTE,RO
11,Rondônia,1101005,Governador Jorge Teixeira,GOVERNADOR JORGE TEIXEIRA,RO
11,Rondônia,1100106,Guajará-Mirim,GUAJARAMIRIM,RO
11,Rondônia,1101104,Itapuã do Oeste,ITAPUA DO OESTE,RO
11,Rondônia,1100114,Jaru,JARU,RO
11,Rondônia,1100122,Ji-Paraná,JIPARANA,RO
11,Rondônia,1100130,Machadinho D'Oeste,MACHADINHO DOESTE,RO
11,Rondônia,1101203,Ministro Andreazza,MINISTRO ANDREAZZA,RO
11,Rondônia,1101302,Mirante da Serra,MIRANTE DA SERRA,RO
11,Rondônia,1101401,Monte Negro,MONTE NEGRO,RO
11,Rondônia,1100148,Nova Brasilândia D'Oeste,NOVA BRASILANDIA DOESTE,RO
11,Rondônia,1100338,Nova Mamoré,NOVA MAMORE,RO
11,Rondônia,1101435,Nova União,NOVA UNIAO,RO
11,Rondônia,1100502,Novo Horizonte do Oeste,NOVO HORIZONTE DO OESTE,RO
11,Rondônia,1100155,Ouro Preto do Oeste,OURO PRETO DO OESTE,RO
11,Rondônia,1101450,Parecis,PARECIS,RO
11,Rondônia,1100189,Pimenta Bueno,PIMENTA BUENO,RO
11,Rondônia,1101468,Pimenteiras do Oeste,PIMENTEIRAS DO OESTE,RO
11,Rondônia,1100205,Porto Velho,PORTO VELHO,RO
11,Rondônia,1100254,Presidente Médici,PRESIDENTE MEDICI,RO
11,Rondônia,1101476,Primavera de Rondônia,PRIMAVERA DE RONDONIA,RO
11,Rondônia,1100262,Rio Crespo,RIO CRESPO,RO
